Assembly Accession	Assembly BioSample Geographic location	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Isolation source	Assembly Stats GC Percent	Assembly Stats Total Sequence Length	Organelle Assembly Name	Organism Name	Organism Taxonomic ID	Annotation Count Gene Protein-coding
GCF_007974105.1	USA: Kansas	Bos taurus		nasopharynx	41	2591845		Mannheimia haemolytica	75985	2456
GCF_007974125.1	USA: Kansas	Bos taurus		nasopharynx	41	2591109		Mannheimia haemolytica	75985	2464
GCF_007974145.1	USA: Kansas	Bos taurus		nasopharynx	41	2591838		Mannheimia haemolytica	75985	2455
GCF_007974165.1	USA: Kansas	Bos taurus		nasopharynx	41	2593344		Mannheimia haemolytica	75985	2460
GCF_007974375.1	USA: Kansas	Bos taurus		nasopharynx	41	2591551		Mannheimia haemolytica	75985	2456
GCF_007974525.1	USA: Kansas	Bos taurus		nasopharynx	41	2594350		Mannheimia haemolytica	75985	2457
GCF_007974745.1	USA: Kansas	Bos taurus		nasopharynx	41	2512757		Mannheimia haemolytica	75985	2339
GCF_007974925.1	USA: Kansas	Bos taurus		nasopharynx	41	2512791		Mannheimia haemolytica	75985	2340
GCF_007975085.1	USA: Kansas	Bos taurus		nasopharynx	41	2583230		Mannheimia haemolytica	75985	2448
GCF_007975365.1	USA: Kansas	Bos taurus		nasopharynx	41	2583293		Mannheimia haemolytica	75985	2456
GCF_007975575.1	USA: Kansas	Bos taurus		nasopharynx	41	2512748		Mannheimia haemolytica	75985	2348
GCF_007976445.1	USA: Kentucky	Bos taurus		nasopharynx	41	2590588		Mannheimia haemolytica	75985	2466
GCF_007976625.1	USA: Kentucky	Bos taurus		nasopharynx	41	2590611		Mannheimia haemolytica	75985	2476
GCF_007976765.1	USA: Kentucky	Bos taurus		nasopharynx	41	2559915		Mannheimia haemolytica	75985	2409
GCF_007976905.1	USA: Missouri	Bos taurus		nasopharynx	41	2591548		Mannheimia haemolytica	75985	2465
GCF_007977085.1	USA: Missouri	Bos taurus		nasopharynx	41	2591534		Mannheimia haemolytica	75985	2466
GCF_007977225.1	USA: Missouri	Bos taurus		nasopharynx	41	2591578		Mannheimia haemolytica	75985	2468
GCF_007977495.1	USA: Missouri	Bos taurus		nasopharynx	41	2591598		Mannheimia haemolytica	75985	2457
GCF_007977645.1	USA: Tennessee	Bos taurus		nasopharynx	41	2512744		Mannheimia haemolytica	75985	2350
GCF_007977825.1	USA: Tennessee	Bos taurus		nasopharynx	41	2546071		Mannheimia haemolytica	75985	2392
GCF_007978045.1	USA: Tennessee	Bos taurus		nasopharynx	41	2583234		Mannheimia haemolytica	75985	2449
GCF_007978185.1	USA: Missouri	Bos taurus		nasopharynx	41	2591834		Mannheimia haemolytica	75985	2456
GCF_007978365.1	USA: Missouri	Bos taurus		nasopharynx	41	2591830		Mannheimia haemolytica	75985	2462
GCF_007979065.1	USA: Texas	Bos taurus		lungs	41	2593187		Mannheimia haemolytica	75985	2467
GCF_007979525.1	USA: South Dakota	Bos taurus		lungs	41	2605173		Mannheimia haemolytica	75985	2472
GCF_007979665.1	USA: Florida	Bos taurus		lungs	41	2592266		Mannheimia haemolytica	75985	2461
GCF_008271365.1	Pakistan:Industrial wastewater, Punjab			wastewater	70	3400248		Microbacterium sp. 1S1	2606451	3223
GCF_008330025.1	USA			missing	40.5	2091866		Haemophilus parahaemolyticus	735	1910
GCF_008330745.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	51.5	2166707		Neisseria meningitidis	487	1924
GCF_008330765.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	51.5	2168615		Neisseria meningitidis	487	1936
GCF_008330785.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	52	2156539		Neisseria meningitidis	487	1920
GCF_008330805.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	52	2157444		Neisseria meningitidis	487	1922
GCF_008330845.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	51.5	2167920		Neisseria meningitidis	487	1935
GCF_008330865.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	51.5	2167995		Neisseria meningitidis	487	1928
GCF_008330885.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	51.5	2165984		Neisseria meningitidis	487	1922
GCF_008330905.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	51.5	2169717		Neisseria meningitidis	487	1936
GCF_008330925.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	51.5	2170095		Neisseria meningitidis	487	1933
GCF_008386335.1	Germany			chicken	30.5	1687752		Campylobacter jejuni	197	1634
GCF_009664675.1	Australia	Homo sapiens	missing	blood	52	2166248		Neisseria meningitidis	487	1926
GCF_009664695.1	Australia	Homo sapiens	missing	blood	51.5	2185677		Neisseria meningitidis	487	1982
GCF_009664815.1	Australia	Homo sapiens	missing	missing	38.5	3453356		Legionella pneumophila	446	3018
GCF_009676805.1	China:Henan	swine		feces	41.5	2979276		Acinetobacter towneri	202956	2714
GCF_009796805.1	Arctic Ocean	brown algae		beach	32.5	4638103		Algibacter sp. L1A34	2686365	3848
GCF_010669065.1					38.5	3512305		Legionella pneumophila	446	3060
GCF_011044295.1	not collected	Swine	not collected	not collected	40	2275841		Glaesserella parasuis	738	2049
GCF_011044315.1	not collected	swine	not collected	not collected	40	2355923		Glaesserella parasuis	738	2136
GCF_011068285.1	Pacific Ocean			sediment	43	4610330		Flagellimonas oceani	2698672	4145
GCF_011462075.1	USA:Ipswich			contamination in NEB collection	66.5	3179618		Brevibacterium luteolum	199591	2847
GCF_011617245.1	Atlantic Ocean			sediment	65.5	4156794		Brevibacterium atlanticum	2697563	3616
GCF_011617705.1	Pacific Ocean			sediment	65	4253182		Brevibacterium limosum	2697565	3712
GCF_011765605.1	Mexico:Jalisco farm	Chicken	Infectious coryza	missing	41	2521134		Avibacterium paragallinarum	728	2343
GCF_012220945.1	China:Zhejiang			duck meat	30.5	1646233		Campylobacter jejuni	197	1621
GCF_012224765.1	China:Zhejiang			duck meat	30.5	1713980		Campylobacter jejuni	197	1688
GCF_012224905.1	China:Zhejiang			chicken meat	30.5	1652365		Campylobacter jejuni	197	1629
GCF_012225065.1	China:Zhejiang			chicken meat	30.5	1652366		Campylobacter jejuni	197	1631
GCF_012849875.1	USA:Pennsylvania	Gallus gallus domesticus	Infectious coryza	missing	41	2415699		Avibacterium paragallinarum	728	2225
GCF_012850075.1	USA:Pennsylvania	Gallus gallus domesticus	Infectious coryza	missing	41	2415855		Avibacterium paragallinarum	728	2231
GCF_012850275.1	USA:Pennsylvania	Gallus gallus domesticus	Infectious coryza	missing	41	2415950		Avibacterium paragallinarum	728	2234
GCF_012850455.1	USA:Pennsylvania	Gallus gallus domesticus	Infectious coryza	missing	41	2415552		Avibacterium paragallinarum	728	2231
GCF_012850655.1	USA:Pennsylvania	Gallus gallus domesticus	Infectious coryza	missing	41	2415993		Avibacterium paragallinarum	728	2226
GCF_012850815.1	USA:Pennsylvania	Gallus gallus domesticus	Infectious coryza	missing	41	2416187		Avibacterium paragallinarum	728	2228
GCF_012850955.1	USA:Pennsylvania	Gallus gallus domesticus	Infectious coryza	missing	41	2415542		Avibacterium paragallinarum	728	2227
GCF_012889985.1	Chile	Homo sapiens	missing	missing	30.5	1688111		Campylobacter sp. CFSAN093259	2572083	1663
GCF_012897395.1	Chile	Homo sapiens	missing	missing	30.5	1625593		Campylobacter sp. CFSAN093224	2572074	1569
GCF_012897595.1	Chile	Homo sapiens	missing	missing	30.5	1720916		Campylobacter sp. CFSAN093226	2572065	1707
GCF_012898015.1	Chile	Homo sapiens	missing	missing	30.5	1745502		Campylobacter sp. CFSAN093238	2572084	1712
GCF_013177475.1	Italy:Lozzo Atesino			feces	30.5	1685647		Campylobacter jejuni	197	1655
GCF_013372225.1	Canada: Alberta, Edmonton			amniotic fluid	29	1820334		Campylobacter ureolyticus	827	1775
GCF_013372245.1	USA: Los Angeles, California			Human, fecal	35	1628950		Campylobacter upsaliensis RM3940	1031733	1612
GCF_013375975.1	unknown			missing	54.5	4875486		Enterobacter ludwigii	299767	4471
GCF_013377195.1	United Kingdom: Scotland	ringed seal		lungs	33.5	2125638		Bisgaardia hudsonensis	109472	1873
GCF_013377215.1	Denmark	hare			40	2334743		Mannheimia granulomatis	85402	2148
GCF_013377235.1	Germany	bovine			40.5	2139787		Mannheimia varigena	85404	1917
GCF_013390325.1	Denmark	porcine			40.5	2246429		Mannheimia varigena	85404	2102
GCF_013393805.1	Slovenia	Homo sapiens	Campylobacter enteritis	feces	30.5	1710461		Campylobacter jejuni subsp. jejuni	32022	1698
GCF_013394265.1	China:Guangdong	duck	missing	feces	39	3931210		Acinetobacter baumannii	470	3619
GCF_013394405.1	not applicable	Homo sapiens			38	1957393		Haemophilus influenzae	727	1828
GCF_014082005.1	China:henan			cloacal swab	30.5	1684050		Campylobacter jejuni	197	1589
GCF_014217995.1	Italy: Province of Bologna	Vulpes vulpes			34.5	1681969		Campylobacter vulpis	1655500	1668
GCF_014302495.1	France	Homo sapiens		blood	51.5	2225194		Neisseria meningitidis	487	2035
GCF_014541205.1	China:Yunnan province	cow			40	2155161		Mannheimia bovis	2770636	2039
GCF_015277895.1	Indian Ocean			sediment from marine environment	68	3267287		Microbacterium abyssi	2782166	3106
GCF_015679665.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	51.5	2179401		Neisseria meningitidis	487	1955
GCF_015679735.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	51.5	2176177		Neisseria meningitidis	487	1934
GCF_015679865.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	51.5	2196100		Neisseria meningitidis	487	1970
GCF_015679905.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	51.5	2171562		Neisseria meningitidis	487	1951
GCF_015679925.1	Sweden	Homo sapiens	invasive meningococcal disease	missing	51.5	2182561		Neisseria meningitidis	487	1949
GCF_015774875.1	USA: Florida	Chicken	Spotty Liver Disease	Chicken liver	28	1520165		Campylobacter hepaticus	1813019	1425
GCF_016026555.1	Not applicable	missing	Unknown	missing	68	3881539		Brevibacterium casei	33889	3456
GCF_016026595.1	Not applicable	missing	Unknown	missing	68	3866591		Brevibacterium casei	33889	3439
GCF_016026975.1	Not applicable	missing	Unknown	missing	42.5	1974256		Aerococcus urinae	1376	1726
GCF_016027415.1	Not applicable	missing	Unknown	missing	68	3960094		Brevibacterium casei	33889	3542
GCF_016027575.1	Not applicable	missing	Unknown	missing	35	5716977		Bacillus tropicus	2026188	5505
GCF_016756395.1	Japan:Gunma, Kurabuchi Village				73.5	8972903		Actinacidiphila reveromycinica	659352	7207
GCF_016889385.1	Germany: Braunschweig	missing	Unknown	missing	40.5	2093459		Haemophilus parahaemolyticus	735	1914
GCF_016903535.1	USA:WA	Homo sapiens	Unknown	missing	50.5	4825083		Escherichia coli	562	4379
GCF_017310275.1	China: Beijing	Homo sapiens	cholangiolithiasis	bile	59	4500467		Aeromonas veronii	654	3936
GCF_017347365.1	Japan				51.5	2158475		Neisseria meningitidis	487	1929
GCF_017351955.1	Denmark: Copenhagen	broiler chicken		missing	30.5	1678286		Campylobacter jejuni	197	1653
GCF_017352015.1	Denmark: Copenhagen	broiler chicken		missing	30.5	1721086		Campylobacter jejuni	197	1701
GCF_017603825.1	China: Xi'an			OPAHs polluted soil	64.5	4381539		Crystallibacter crystallopoietes	37928	3963
GCF_018176875.1	China:Hunan			anal swab	31	1872382		Campylobacter coli	195	1864
GCF_018176975.1	China:Hunan			anal swab	31	1872357		Campylobacter coli	195	1863
GCF_018208375.1	Hong Kong			food waste	65.5	4181100		Brevibacterium sp. SMBL_HHYL_HB1	2777556	3659
GCF_018885125.1	Taiwan	Homo sapiens	not collected	stool	30.5	1681053		Campylobacter jejuni	197	1644
GCF_018885225.1	Taiwan	Homo sapiens	not collected	stool	30.5	1684034		Campylobacter jejuni	197	1642
GCF_018968685.1	New Zealand: Oroua River			river water	27.5	1584374		Campylobacter novaezeelandiae	2267891	1551
GCF_019048825.1	United Kingdom	Homo sapiens	meningitis	nasal cavity	51.5	2206600		Neisseria meningitidis	487	2006
GCF_019056415.1	Taiwan	Homo sapiens	not collected	stool	30.5	1686995		Campylobacter jejuni	197	1644
GCF_019356015.1	United Kingdom: Liverpool	Homo sapiens	meningitis	CSF	51.5	2311508		Neisseria meningitidis	487	2047
GCF_019703365.1	Japan:Fukuoka	Homo sapiens			38.5	1979718		Haemophilus influenzae	727	1881
GCF_019703385.1	Japan:Chiba	Homo sapiens			38.5	1979786		Haemophilus influenzae	727	1885
GCF_019703405.1	Japan:Fukuoka	Homo sapiens			38	1853393		Haemophilus influenzae	727	1693
GCF_019703425.1	Japan:Fukuoka	Homo sapiens			38	1832515		Haemophilus influenzae	727	1673
GCF_019703455.1	Japan:Fukuoka	Homo sapiens			38	1805925		Haemophilus influenzae	727	1643
GCF_019703495.1	Japan:Chiba	Homo sapiens			38	1819364		Haemophilus influenzae	727	1647
GCF_019703525.1	Japan:Fukuoka	Homo sapiens			38	1886480		Haemophilus influenzae	727	1750
GCF_019703545.1	Japan:Chiba	Homo sapiens			38	1902536		Haemophilus influenzae	727	1784
GCF_019703635.1	Japan:Chiba	Homo sapiens			38	1818266		Haemophilus influenzae	727	1641
GCF_019703715.1	Japan:Chiba	Homo sapiens			38	1791343		Haemophilus influenzae	727	1608
GCF_019754215.1	United Kingdom			Unknown	30.5	1634782		Campylobacter jejuni	197	1588
GCF_019797805.1	South Korea: Jeju			marine sediment	47	2610628		Idiomarina abyssalis	86102	2431
GCF_019822885.1	China:Hebei	Gallus gallus (chicken)			41	2774989		Avibacterium paragallinarum	728	2646
GCF_019904315.1	China:Shenyang				61	3828539		Geobacter sulfurreducens	35554	3416
GCF_019930905.1	Germany: Braunschweig	missing	Unknown	missing	38.5	1993271		Haemophilus aegyptius	197575	1878
GCF_019973675.1	not collected	Homo sapiens			38.5	1895310		Haemophilus haemolyticus	726	1755
GCF_019974095.1	Japan	Homo sapiens			38	3438257		Legionella pneumophila	446	2982
GCF_020042585.1	China:henan			chicken	31.5	1688064		Campylobacter coli	195	1692
GCF_020091505.1	USA:Bethesda	Homo sapiens	BACTEROIDES INFECTIONS	missing	42.5	6352228		Bacteroides faecis	674529	4861
GCF_020097455.1	Germany: Braunschweig	missing	Unknown	missing	31	1928240		Gemella haemolysans	1379	1675
GCF_020540925.1	South Africa: Pretoria	Homo sapiens	Not applicable	rectal swab of pregnant women	55	4918254		Enterobacter cloacae	550	4481
GCF_020719145.1	Peru: Lima	Homo sapiens	Diarrhoea	stool	30.5	1667160		Campylobacter jejuni	197	1620
GCF_020719855.1	Peru: Lima	Homo sapiens	Diarrhoea	stool	30.5	1667545		Campylobacter jejuni	197	1616
GCF_020736025.1	Germany: Braunschweig	missing	Unknown	missing	38	1834285		Haemophilus influenzae	727	1650
GCF_020736045.1	Germany: Braunschweig	missing	Unknown	missing	38	1890662		Haemophilus influenzae	727	1756
GCF_021117425.1	China: yunnan	Bat		feces of bat	62.5	4408116		Brevibacterium zhoupengii	2898795	3888
GCF_021441965.1	China: Jiangsu			pigeon	51	4893538		Escherichia coli	562	4451
GCF_021729465.1	China: Jiangsu Province, Yancheng City	Duck	Not available	stool	39	4032777		Acinetobacter baumannii	470	3701
GCF_021729485.1	USA: Alaska	Homo sapiens			39	1575789		Helicobacter pylori	210	1390
GCF_021729725.1	USA: Alaska	Homo sapiens			39	1639336		Helicobacter pylori	210	1464
GCF_022220445.1	Belarus: Minsk District	Homo sapiens		bronchoalveolar lavage (female)	38.5	3420918		Legionella pneumophila	446	2973
GCF_022404875.1	Canada	Bos taurus			41	2590341		Mannheimia haemolytica	75985	2279
GCF_022404975.1	Canada	Bos taurus			41	2590907		Mannheimia haemolytica	75985	2274
GCF_022405015.1	Canada	Bos taurus			41	2592558		Mannheimia haemolytica	75985	2273
GCF_022405035.1	Canada	Bos taurus			41	2594245		Mannheimia haemolytica	75985	2278
GCF_022833145.1	Finland: Helsinki	Homo sapiens		fecal sample from infant botulism case	28	3938593		Clostridium botulinum	1491	3549
GCF_022964995.1	China:Beijing	chicken			41	2675016		Avibacterium paragallinarum	728	2499
GCF_023516255.1	USA: Kansas	Bos taurus	missing	feedlot	41	2524799		Mannheimia haemolytica	75985	2319
GCF_023516335.1	missing	missing	pneumonia	missing	41	2588855		Mannheimia haemolytica	75985	2469
GCF_023824315.1	China: Lhasa City, Tibet Autonomous Region			soil	40.5	3390424		Acinetobacter tibetensis	2943497	3102
GCF_023981045.1	China:Shijiazhuang	Homo sapiens	NA	sputum	39	4205854		Acinetobacter baumannii	470	3841
GCF_024181005.1	South Korea			chicken	30.5	1695238		Campylobacter jejuni	197	1653
GCF_024218755.1	China:Zhengzhou			bile	61	4792334		Aeromonas caviae	648	4255
GCF_024220095.1	India	Homo sapiens		Sewage	27	2443126		Fusobacterium polymorphum	76857	2194
GCF_024499245.1	China: Jiangsu			pigeon	51	4784882		Escherichia coli	562	4320
GCF_024532075.1	China: Nanchang	EW		Poyang Lake	49.5	4884414		Escherichia albertii	208962	4451
GCF_024662055.1	China: Kunming	Phthorimaea operculella			60	3789755		Glutamicibacter halophytocola	1933880	3414
GCF_024752555.1	China:Jiangsu			Chicken caecum	31.5	1751083		Campylobacter coli	195	1715
GCF_024759405.1	USA: Bethesda	Homo sapiens			42.5	7083267		Bacteroides faecis	674529	5571
GCF_024918035.1	USA: Houston	Homo sapiens	Bacteremia	blood	50.5	5010740		Escherichia coli	562	4543
GCF_024927965.1	China:Sichuan	Dysosma versipellis		missing	72.5	8265668		Actinacidiphila bryophytorum	1436133	6878
GCF_025200945.1	South Korea: Gyeonggi-do			chicken	30.5	1733246		Campylobacter jejuni	197	1703
GCF_025643275.1	China:Yunnan province	ruminant		lung	43.5	2106666		Moraxella nasicaprae	2904122	1924
GCF_025884415.1	USA: Iowa	Gallus gallus			41	2529853		Avibacterium paragallinarum	728	2352
GCF_025884555.1	USA: Ohio	Gallus gallus			41	2407441		Avibacterium paragallinarum	728	2193
GCF_026898195.1	USA: Georgia			chicken's bile	28	1516079		Campylobacter hepaticus	1813019	1427
GCF_027286285.1	Germany:Braunschweig			not provided	38.5	3691263		Legionella pneumophila	446	3268
GCF_027626015.1	Taiwan	Tryonyx sinensis (Chinese soft-shell turtle)	systemic anthrax-like infection	spleen	35.5	5487300		Bacillus tropicus	2026188	5321
GCF_028583465.1	Poland	White Stork	unknown	Nestling, choana	39	3937483		Acinetobacter baumannii	470	3573
GCF_028621895.1	China:Yunxiao County,fujian provice	missing		sediment	45	2586360		Acinetobacter sp. GSS19	3020716	2297
GCF_028747645.1	China: Bohai Bay	missing		marine plastic biofilm	68	3197365		Microbacterium esteraromaticum	57043	2994
GCF_028748045.1	China:Fujian	swine		lung	40	2412602		Glaesserella parasuis	738	2273
GCF_028748065.1	China:South China Sea			the South China Sea at depth of 2500m	55	3472649		Hyphococcus flavus	1866326	3277
GCF_029025785.1	China:Zhejiang	Homo sapiens			60.5	5633455		Aeromonas hydrophila	644	5073
GCF_029338175.1	China: Enshi			seleniferous soil	52.5	4915451		Citrobacter enshiensis	2971264	4190
GCF_029762455.1	China:Fujian	swine		lung	40	2326913		Glaesserella parasuis	738	2100
GCF_029773685.1	United Kingdom	horse			40.5	2424936		Actinobacillus equuli subsp. equuli	202947	2164
GCF_029773705.1	Belgium	horse			40.5	2416529		Actinobacillus equuli subsp. haemolyticus	202948	2136
GCF_029773725.1	Belgium	horse			40.5	2335568		Actinobacillus equuli subsp. equuli	202947	2062
GCF_029773765.1	Belgium	horse			40.5	2419064		Actinobacillus equuli subsp. haemolyticus	202948	2158
GCF_029773915.1	Belgium	horse			40.5	2378731		Actinobacillus equuli subsp. equuli	202947	2110
GCF_029773935.1	Belgium	horse			40.5	2338909		Actinobacillus equuli subsp. haemolyticus	202948	2065
GCF_029773975.1	Belgium	horse			40.5	2326449		Actinobacillus equuli subsp. haemolyticus	202948	2046
GCF_029773995.1	Belgium	horse			40.5	2378885		Actinobacillus equuli subsp. haemolyticus	202948	2097
GCF_029774075.1	Belgium	horse			40.5	2339006		Actinobacillus equuli subsp. haemolyticus	202948	2074
